code,name,barcode,unit,is_active,sale_price,ncm
895,RAVIOLE RICOTA ESPINAFRE,895,KG,0,38.9,19022000
896,RAVIOLE RICOTA NOZES,896,KG,0,42.9,19022000
897,RAVIOLE RECHEIO ESPECIAL,897,KG,0,42.9,
901,APRESUNTADO FATIADO,901,KG,0,16,16024900
902,MUSSARELA FATIADA,902,KG,0,26,4061010
903,FRUTAS EM CALDA G,903,UN,0,8.5,
904,MOLHO MADEIRA,904,KG,0,19.9,
905,MOLHO AGRIDOCE,905,KG,0,19.9,
906,FRUTAS EM CALDA P,906,UN,0,6.5,
953,FRANGO ASSADO,953,UN,0,30,16021000
954,LOMBO,954,KG,0,52,16021000
955,ROCAMBOLE DE CARNE C/ MOLHO,955,KG,0,54.9,16021000
956,PERNIL,956,KG,0,52,16021000
957,COSTELINHA SUINA,957,KG,0,64.9,16021000
958,PALETA C/ MOLHO,958,KG,0,64.9,16021000
961,PEITO DE FRANGO C/ MOLHO,961,KG,0,41.9,16021000
962,TENDER,962,KG,0,52,16021000
964,ENR FILE MIGNON C/ MOLHO,964,KG,0,95,16021000
977,LOMBO RECHEADO,977,KG,0,52,16021000
978,AVE NATALINA,978,KG,0,39.9,
979,PERNIL COM OSSO.,979,KG,0,52,
1001,MASSA CONCHIGLIONE.,1001,KG,0,0,19022000
1002,MASSA RONDELE.,1002,KG,0,0,19022000
1003,ABOBRINHA AO FORNO.,1003,KG,0,0,19022000
1004,TOMATE SECO.,1004,KG,0,0,19022000
1005,BERINJELA SECA.,1005,KG,0,0,19022000
1006,ANTEPASTO DE BERINJELA.,1006,KG,0,0,19022000
1007,SARDELA.,1007,KG,0,0,19022000
1011,MASSA LASANHA.,1011,KG,0,0,19022000
1016,TALHARIM BRANCO.,1016,KG,0,0,19022000
1027,TALHARIM INTEGRAL.,1027,KG,0,0,19022000
1028,TALHARIM DE ESPINAFRE.,1028,KG,0,0,19022000
1029,PANQUECA DE PALMITO.,1029,KG,0,0,19022000
1030,PANQUECA DE CARNE.,1030,KG,0,0,19022000
1031,PANQUECA PRES MUSSA.,1031,KG,0,0,19022000
1032,PANQUECA QUATRO QUEIJOS.,1032,KG,0,0,19022000
1033,PANQUECA DE FRANGO.,1033,KG,0,0,19022000
1036,PANQUECA 4Q ESPINAFRE.,1036,KG,0,0,19022000
1037,PANQUECA 4Q TOM SEC.,1037,KG,0,0,19022000
1038,PANQUECA DE RICOTA.,1038,KG,0,0,19022000
1078,TALHARIM DE BETERRABA.,1078,KG,0,0,
1079,TALHARIM DE CENOURA.,1079,KG,0,0,
1100,CANELONE RIC ESPINAFRE.,1100,KG,0,0,19022000
1101,CANELONE PRESUNTO E MUSSARELA.,1101,KG,0,0,19022000
1102,CANELONE QUATRO QUEIJOS.,1102,KG,0,0,19022000
1103,CANELONE FRANGO MUSS REQ.,1103,KG,0,0,19022000
1104,CANELONE 4Q TOMATE SECO.,1104,KG,0,0,19022000
1105,CANELONE 4Q ESPINAFRE.,1105,KG,0,0,19022000
1106,CANELONE 4Q AZEIT PRETA.,1106,KG,0,0,19022000
1107,CANELONE PIZZA.,1107,KG,0,0,19022000
1108,CANELONE RICOTA.,1108,KG,0,0,19022000
1109,CANELONE RIC NOZ UVAS PASSAS.,1109,KG,0,0,19022000
1110,CANELONE RIC TOMATE SECO.,1110,KG,0,0,19022000
1111,CANELONE RIC NOZES.,1111,KG,0,0,19022000
1112,CANELONE ABOBORA CARNE SECA.,1112,KG,0,0,19022000
1113,CANELONE RIC AZEIT PRETA.,1113,KG,0,0,19022000
1114,CANELONE PRES ABCX RIC.,1114,KG,0,0,19022000
1115,CANELONE 4Q NOZES.,1115,KG,0,0,19022000
1116,CANELONE RECHEIO ESPECIAL.,1116,KG,0,0,19022000
1117,CANELONE CREAM CHEESE PEITO DE PERU.,1117,KG,0,0,19022000
1118,CANELONE CREAM CHEESE.,1118,KG,0,0,19022000
1119,CANELONE 4Q NOZ UVAS PASSAS.,1119,KG,0,0,19022000
1120,CANELONE ABOBORA.,1120,KG,0,0,19022000
1201,LASANHA PRESUNTO E MUSSARELA.,1201,KG,0,0,19022000
1202,LASANHA QUATRO QUEIJOS.,1202,KG,0,0,19022000
1203,LASANHA FRANGO MUSS REQ.,1203,KG,0,0,19022000
1204,LASANHA ESCAROLA TOMATE SECO.,1204,KG,0,0,19022000
1205,LASANHA ESPINAFRE.,1205,KG,0,0,19022000
1206,LASANHA BOLONHESA.,1206,KG,0,0,19022000
1207,LASANHA ABOBORA CARNE SECA.,1207,KG,0,0,19022000
1208,LASANHA BACALHAU.,1208,KG,0,0,19022000
1209,LASANHA BOLONHESA COMPLETA.,1209,KG,0,0,19022000
1300,RONDELE RIC ESPINAFRE.,1300,KG,0,0,19022000
1301,RONDELE PRESUNTO E MUSSARELA.,1301,KG,0,0,19022000
1302,RONDELE QUATRO QUEIJOS.,1302,KG,0,0,19022000
1303,RONDELE FRANGO MUSS REQ.,1303,KG,0,0,19022000
1304,RONDELE 4Q TOMATE SECO.,1304,KG,0,0,19022000
1305,RONDELE 4Q ESPINAFRE.,1305,KG,0,0,19022000
1306,RONDELE 4Q AZEIT PRETA.,1306,KG,0,0,19022000
1307,RONDELE PIZZA.,1307,KG,0,0,19022000
1308,RONDELE RICOTA.,1308,KG,0,0,19022000
1309,RONDELE RIC NOZ UVAS PASSAS.,1309,KG,0,0,19022000
1310,RONDELE RIC TOMATE SECO.,1310,KG,0,0,19022000
1311,RONDELE RIC NOZES.,1311,KG,0,0,19022000
1313,RONDELE RIC AZEIT PRETA.,1313,KG,0,0,19022000
1314,RONDELE PRES ABCX RIC.,1314,KG,0,0,19022000
1315,RONDELE 4Q NOZES.,1315,KG,0,0,19022000
1316,RONDELE RECHEIO ESPECIAL.,1316,KG,0,0,19022000
1319,RONDELE 4Q NOZ UVAS PASSAS.,1319,KG,0,0,19022000
1400,SOFIATELLI RIC ESPINAFRE.,1400,KG,0,0,19022000
1401,SOFIATELLI PRESUNTO E MUSSARELA.,1401,KG,0,0,19022000
1402,SOFIATELLI QUATRO QUEIJOS.,1402,KG,0,0,19022000
1403,SOFIATELLI FRANGO MUSS REQ.,1403,KG,0,0,19022000
1404,SOFIATELLI 4Q TOMATE SECO.,1404,KG,0,0,19022000
1405,SOFIATELLI 4Q ESPINAFRE.,1405,KG,0,0,19022000
1406,SOFIATELLI 4Q AZEIT PRETA.,1406,KG,0,0,19022000
1407,SOFIATELLI PIZZA.,1407,KG,0,0,19022000
1408,SOFIATELLI RICOTA.,1408,KG,0,0,19022000
1409,SOFIATELLI RIC NOZ UVAS PASSAS.,1409,KG,0,0,19022000
1410,SOFIATELLI RIC TOMATE SECO.,1410,KG,0,0,19022000
1411,SOFIATELLI RIC NOZES.,1411,KG,0,0,19022000
1412,SOFIATELLI ABOBORA CARNE SECA.,1412,KG,0,0,19022000
